Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BASS1,C100K,potentiometer_16_5_small_common,137.633333,-48.0,-90.0,top
C1,22n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,183.5,-87.75,0.0,top
C10,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,155.76,-66.5,180.0,top
C11,4n7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,166.25,-52.5,-90.0,top
C12,22n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.75,-61.5375,0.0,top
C13,220n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,150.25,-65.0375,90.0,top
C14,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,125.25,-61.0375,180.0,top
C15,2n2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,125.75,-72.5375,-90.0,top
C16,220n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.75,-81.25,-90.0,top
C17,100u,C_Radial_D10.0mm_H20.0mm_P5.00mm,128.5,-87.75,180.0,top
C18,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,146.75,-93.5,90.0,top
C19,22u,C_Radial_D10.0mm_H20.0mm_P5.00mm,139.5,-87.75,180.0,top
C2,47p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,191.5,-86.75,90.0,top
C20,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,147.7125,-87.5,0.0,top
C21,22u,C_Radial_D10.0mm_H20.0mm_P5.00mm,134.25,-101.75,90.0,top
C22,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,145.5,-105.225,0.0,top
C3,10n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,192.5,-82.75,0.0,top
C4,1n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,195.25,-59.0,90.0,top
C5,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,192.75,-59.0,90.0,top
C6,47p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,190.2125,-63.5,-90.0,top
C7,47n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,177.5,-69.0,90.0,top
C8,120p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,170.0,-65.0,180.0,top
C9,100p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,160.76,-79.0,-90.0,top
D1,1N4148,PinHeader_1x02_P2.54mm_Vertical,173.755,-58.0,-90.0,top
D2,1N4148,PinHeader_1x02_P2.54mm_Vertical,164.73,-58.0,-90.0,top
D3,1N4148,PinHeader_1x02_P2.54mm_Vertical,164.745,-61.75,90.0,top
D4,1N4148,PinHeader_1x02_P2.54mm_Vertical,173.77,-61.75,90.0,top
D5,1N5817,D_DO-41_SOD81_P10.16mm_Horizontal,161.5,-100.5,180.0,top
GAIN1,C100K,potentiometer_16_5_small_common,146.133333,-38.25,-90.0,top
J1,Conn_01x04_Pin,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,194.5,-103.0,0.0,top
L1,LED,PinHeader_1x02_P2.54mm_Vertical,184.48,-56.5,-90.0,top
L2,LED,PinHeader_1x02_P2.54mm_Vertical,184.52,-60.5,90.0,top
L3,LED,PinHeader_1x02_P2.54mm_Vertical,160.02,-84.75,90.0,top
L4,LED,PinHeader_1x02_P2.54mm_Vertical,160.005,-88.5,-90.0,top
MID1,C100K,potentiometer_16_5_small_common,154.441667,-48.0,-90.0,top
PRES1,C10K,potentiometer_16_5_small_common,162.941667,-38.25,-90.0,top
R1,1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,183.5,-90.25,0.0,top
R10,22K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,174.5,-69.0,-90.0,top
R11,22K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,171.5,-69.0,-90.0,top
R12,220K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,168.5,-69.0,90.0,top
R13,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,163.26,-72.5,-90.0,top
R14,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.76,-74.5,-90.0,top
R15,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,160.26,-66.5,180.0,top
R16,33K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,144.25,-65.0375,-90.0,top
R17,33K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,147.25,-65.0375,90.0,top
R18,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,145.75,-58.25,180.0,top
R19,470K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,136.75,-58.0375,180.0,top
R2,330K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,183.5,-85.25,0.0,top
R20,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,137.75,-62.5375,-90.0,top
R21,22K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,130.25,-61.0375,180.0,top
R22,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,125.75,-68.0375,90.0,top
R23,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,148.75,-83.25,-90.0,top
R24,3K3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,151.75,-83.25,-90.0,top
R25,20K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,152.0,-94.75,90.0,top
R26,20K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,149.25,-93.5,90.0,top
R27,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,152.2125,-87.5,0.0,top
R28,20K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,143.5,-99.725,180.0,top
R29,20K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,152.25,-100.5,0.0,top
R3,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,188.0,-87.75,0.0,top
R30,2K2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,157.75,-97.0,0.0,top
R4,22K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,183.5,-82.75,180.0,top
R5,39K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,188.0,-82.75,180.0,top
R6,4K7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,194.5,-79.25,90.0,top
R7,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,190.75,-79.25,90.0,top
R8,22K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,192.7125,-63.5,90.0,top
R9,22K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,190.2125,-59.0,90.0,top
TIGHT1,C100K,potentiometer_16_5_small_common,179.75,-38.25,-90.0,top
TREBLE1,B100K,potentiometer_16_5_small_common,171.25,-48.0,-90.0,top
TRIM1,100K,Potentiometer_Runtron_RM-065_Vertical,153.74,-77.0,-90.0,top
U1,TL072,CERDIP-8_W7.62mm_SideBrazed_LongPads_Socket,187.27,-71.31,90.0,top
U2,TL072,CERDIP-8_W7.62mm_SideBrazed_LongPads_Socket,173.0,-83.5,0.0,top
U3,TL072,CERDIP-8_W7.62mm_SideBrazed_LongPads_Socket,133.75,-72.5375,180.0,top
U4,TL072,CERDIP-8_W7.62mm_SideBrazed_LongPads_Socket,178.5,-100.31,90.0,top
VOL1,A50K,potentiometer_16_5_small_common,129.25,-38.305,-90.0,top
